action,long,short,pair,hedge_ratio,z_score,timestamp,sector,qty_a,qty_b,price_a,price_b,gross_alloc
ENTER_LONG_SPREAD,AEP,SO,AEP/SO,1.4748,-2.9035256400305998,2026-02-12 15:14:34,Utilities,4,8,127.66000366210938,92.93000030517578,1104.932533978315
ENTER_SHORT_SPREAD,BMY,ABBV,ABBV/BMY,-0.8722,2.0272681914211383,2026-02-12 15:14:34,Health Care,1,5,228.69000244140625,60.29499816894531,738.556684946253
ENTER_SHORT_SPREAD,QCOM,CRM,CRM/QCOM,1.7935,2.275144868421174,2026-02-12 15:17:04,Information Technology,2,6,183.9550018310547,138.1699981689453,984.907259324264
ENTER_SHORT_SPREAD,NVDA,ADBE,ADBE/NVDA,2.1299,2.780107528383948,2026-02-12 15:17:04,Information Technology,2,6,261.29998779296875,188.0500030517578,1231.815608294231
ENTER_LONG_SPREAD,AEP,SO,AEP/SO,1.4748,-2.853153371004154,2026-02-12 15:17:04,Utilities,4,10,127.58499908447266,92.92500305175781,1267.532364859567
ENTER_SHORT_SPREAD,BMY,ABBV,ABBV/BMY,-0.8722,2.162844957965715,2026-02-12 15:22:16,Health Care,2,7,228.83999633789062,60.29999923706055,1103.4282254476734
ENTER_LONG_SPREAD,KO,PG,KO/PG,0.4847,-2.1640446075675466,2026-02-12 15:29:38,Consumer Staples,5,1,79.7300033569336,162.5500030517578,873.5096673277543
EXIT,SHORT_SPREAD,2.162844957965715,0.4844664391678278,2026-02-12 15:42:05,ABBV/BMY,-0.8722,0.4844664391678278,Health Care,2,7,2026-02-12 15:22:16,EXIT(|z|<=0.5),1.1300048828125,1103.4282254476734
ENTER_LONG_SPREAD,BX,KKR,BX/KKR,0.9,-2.133004906734667,2026-02-12 15:50:23,Financials,3,4,129.94000244140625,100.77999877929688,986.8236273382
EXIT,SHORT_SPREAD,2.275144868421174,0.1914824066293043,2026-02-13 11:53:23,CRM/QCOM,1.7935,0.1914824066293043,Information Technology,2,6,2026-02-12 15:17:04,EXIT(|z|<=0.5),2.1099853515625,984.907259324264
EXIT,LONG_SPREAD,-2.853153371004154,-0.483286170749723,2026-02-13 11:53:23,AEP/SO,1.4748,-0.483286170749723,Utilities,4,10,2026-02-12 15:17:04,EXIT(|z|<=0.5),-4.809906005859375,1267.532364859567
EXIT,LONG_SPREAD,-2.133004906734667,-0.4751859941957188,2026-02-13 11:53:23,BX/KKR,0.9,-0.4751859941957188,Financials,3,4,2026-02-12 15:50:23,EXIT(|z|<=0.5),-2.649993896484375,986.8236273382
ENTER_SHORT_SPREAD,UNP,NSC,NSC/UNP,0.8285,2.0651916175149325,2026-02-13 11:53:23,Industrials,2,2,316.7900085449219,262.86749267578125,1292.3288489496863
ENTER_SHORT_SPREAD,VLO,OXY,OXY/VLO,0.1614,2.1613420080243317,2026-02-13 11:53:23,Energy,14,1,46.3650016784668,199.4149932861328,1361.1956697785126
ENTER_SHORT_SPREAD,F,TSLA,TSLA/F,1.5,2.152167428434422,2026-02-13 11:53:23,Consumer Discretionary,1,71,419.1099853515625,14.210000038146973,1354.6244626783568
EXIT,SHORT_SPREAD,2.1613420080243317,0.47082128183516236,2026-02-13 11:26:02,OXY/VLO,0.1614,0.47082128183516236,Energy,14,1,2026-02-13 11:53:23,EXIT(|z|<=0.5),3.6936492919921875,1361.1956697785126
EXIT,LONG_SPREAD,-2.1640446075675466,-0.494433178828563,2026-02-13 11:36:28,KO/PG,0.4847,-0.494433178828563,Consumer Staples,5,1,2026-02-12 15:29:38,EXIT(|z|<=0.5),-2.2900238037109375,873.5096673277543
ENTER_LONG_SPREAD,OXY,VLO,OXY/VLO,0.1614,-2.770850569108468,2026-02-14 12:38:14,Energy,15,1,46.040000915527344,200.14999389648438,1441.944104010917
ENTER_LONG_SPREAD,BSX,PFE,BSX/PFE,-8.2799,-3.0516143430767744,2026-02-14 12:38:14,Health Care,10,240,74.72000122070312,27.579999923706055,1600.660018174017
